title,price,voltage,location,condition,seller,url,image_url,category,page,spec_voltage,spec_capacity,spec_current_rating,spec_kva_rating,spec_power,Clean_Name,Current_Ah,Voltage_V,Power_W,Energy_Wh,Power_kVA
10kwa/48v Africell Premium Lithium Battery,2200000,48V,,,,,,Deep Cycle Batteries,1,48V,,,,,kwa Africell Premium Lithium Battery,,48,,,
Felicity Ion Lithium Battery,3300000,,,,,,,Deep Cycle Batteries,1,,,,,,Felicity Ion Lithium Battery,,,,,
10kw 51.2v/48v/Lithium Ion Battery,1600000,2V,,,,,,Deep Cycle Batteries,1,2V,,,,00010KW,Lithium Ion Battery,,2,10000,,
15kwh 48v Flat Africell Lithium Ion Battery,1950000,48V,,,,,,Deep Cycle Batteries,1,48V,,,,,Flat Africell Lithium Ion Battery,,48,,15000,
Allgrand Dry Cell Gel Battery 200ah,280000,,,,,,,Deep Cycle Batteries,1,,,,,,Allgrand Dry Cell Gel Battery,200,,,,
200ah 12v AMARON SOLAR GEL Battery,395000,12V,,,,,,Deep Cycle Batteries,1,12V,000200Ah,,,,AMARON SOLAR GEL Battery,200,12,,,
230ah 12v De Range Gel Battery (Block),275000,12V,,,,,,Deep Cycle Batteries,1,12V,000230Ah,,,,De Range Gel Battery Block,230,12,,,
Astra 230ah Tubular Battery Very Effective and Reliable,260000,12V,,,,,,Deep Cycle Batteries,1,12V,230Ah,,,,Astra Tubular Battery Very Effective and Reliable,230,,,,
Suc-Cam Tubular Battery 12v 230ahms,260000,12V,,,,,,Deep Cycle Batteries,1,12V,,,,,Suc Cam Tubular Battery,230,12,,,
120ah 12v Choice Solar Battery,120000,12V,,,,,,Deep Cycle Batteries,1,12V,000120Ah,,,,Choice Solar Battery,120,12,,,
15kwh 48vost Blue Carbon Lithium Battery,1850000,,,,,,,Deep Cycle Batteries,1,,,,,,vost Blue Carbon Lithium Battery,,,,15000,
17.5kwh 51.2v Felicity Solar Lithium Battery,3000000,2V,,,,,,Deep Cycle Batteries,1,2V,,,,,Felicity Solar Lithium Battery,,2,,5000,
100ah Solar Battery High Quality Solar Battery,125000,,,,,,,Deep Cycle Batteries,1,,000100Ah,,,,Solar Battery High Quality Solar Battery,100,,,,
Cworth 5kwh Lithium Ion Battery,1030000,,,,,,,Deep Cycle Batteries,1,,,,,,Cworth Lithium Ion Battery,,,,5000,
220ah Elite Tall Tubular Battery,310000,,,,,,,Deep Cycle Batteries,1,,000220Ah,,,,Elite Tall Tubular Battery,220,,,,
15kwh Blue Carbon Lithium Battery,2199999,,,,,,,Deep Cycle Batteries,1,,,,,,Blue Carbon Lithium Battery,,,,15000,
15kwh Cworth Battery,2150000,,,,,,,Deep Cycle Batteries,1,,,,,,Cworth Battery,,,,15000,
17.5kwh Felicity Solar Lithium Ion Battery,2750000,,,,,,,Deep Cycle Batteries,1,,,,,,Felicity Solar Lithium Ion Battery,,,,5000,
Jupiter Battery 220ah Pure India,235000,,,,,,,Deep Cycle Batteries,1,,220Ah,,,,Jupiter Battery Pure India,220,,,,
240ah Genus Carbon Tubular Battery,380000,,,,,,,Deep Cycle Batteries,1,,000240Ah,,,,Genus Carbon Tubular Battery,240,,,,
240ah Blue Power Tubular Battery,265000,,,,,,,Deep Cycle Batteries,1,,000240Ah,,,,Blue Power Tubular Battery,240,,,,
10kwh 48v Felicity Lithium Battery Available,2000000,48V,,,,,,Deep Cycle Batteries,1,48V,,,,,Felicity Lithium Battery Available,,48,,10000,
15kwh 51.2v Lithium Battery/10kva Inverter Hybrid 7yrs Warra,6500000,2V,,,,,,Deep Cycle Batteries,1,2V,,,10KVA,600W,Lithium Battery Inverter Hybrid yrs Warra,,2,,15000,10
Gel Battery 200AH,285000,,,,,,,Deep Cycle Batteries,1,,,,,,Gel Battery,200,,,,
5kwh 48/24 Felicity Lithium Ion Battery,1300000,,,,,,,Deep Cycle Batteries,1,,,,,,Felicity Lithium Ion Battery,,,,5000,
Felicity Ion Lithium Battery 15kwh 51.2v,2750000,2V,,,,,,Deep Cycle Batteries,1,2V,,,,,Felicity Ion Lithium Battery,,2,,15000,
10kwh Lithium Batteries,1800000,,,,,,,Deep Cycle Batteries,1,,,,,,Lithium Batteries,,,,10000,
Original Felicity Ion Lithium Battery 25kwh 51.2v,5250000,2V,,,,,,Deep Cycle Batteries,1,2V,,,,,Original Felicity Ion Lithium Battery,,2,,25000,
Solar Battery 12volts 18ahs,60000,12V,,,,,,Deep Cycle Batteries,1,12V,,,,,Solar Battery,18,12,,,
"210ah, 12v Slim Croc Battery",265000,12V,,,,,,Deep Cycle Batteries,1,12V,000210Ah,,,,Slim Croc Battery,210,12,,,
"Felicity 220ah,12v Tall Tubular Solar Batteries In Stock.",230000,12V,,,,,,Deep Cycle Batteries,1,12V,220Ah,,,,Felicity Tall Tubular Solar Batteries In Stock,220,12,,,
Index 10kwh Iron Battery,1450000,,,,,,,Deep Cycle Batteries,1,,,,,,Index Iron Battery,,,,10000,
210ah Croc Solar Dry Series Battery,260000,,,,,,,Deep Cycle Batteries,1,,000210Ah,,,,Croc Solar Dry Series Battery,210,,,,
Solar Pelicity 220ahs Tubular,240000,,,,,,,Deep Cycle Batteries,1,,,,,,Solar Pelicity Tubular,220,,,,
I5kwh 48v 300ah Blue Carbon Lithium Battery,1850000,48V,,,,,,Deep Cycle Batteries,1,48V,300Ah,,,,Ikwh Blue Carbon Lithium Battery,300,48,,5000,
15kwh 51.2volts Felicitysolar Lithium Battery,2400000,2V,,,,,,Deep Cycle Batteries,1,2V,300Ah,,,15KW,Felicitysolar Lithium Battery,,2,,15000,
